Width,200,200,246.4,246.4,292.7,292.7,339.1,339.1,385.4,385.4,431.8,431.8,478.2,478.2,524.5,524.5,570.9,570.9,617.2,617.2,663.6,663.6,709.9,709.9,756.3,756.3,802.7,802.7,849,849,895.4,895.4,941.7,941.7,988.1,988.1,1.03E+03,1.03E+03,1.08E+03,1.08E+03,1.13E+03,1.13E+03,1.17E+03,1.17E+03,1.22E+03,1.22E+03,1.27E+03,1.27E+03,1.31E+03,1.31E+03,1.36E+03,1.36E+03,1.41E+03,1.41E+03,1.45E+03,1.45E+03,1.50E+03,1.50E+03,1.54E+03,1.54E+03,1.59E+03,1.59E+03,1.64E+03,1.64E+03,1.68E+03,1.68E+03,1.73E+03,1.73E+03,1.78E+03,1.78E+03,1.82E+03,1.82E+03,1.87E+03,1.87E+03,1.92E+03,1.92E+03,1.96E+03,1.96E+03,2.01E+03,2.01E+03
1.00E-06,-13.75,,-11.98,,-10.53,,-9.295,,-8.225,,-7.281,,-6.437,,-5.675,,-4.982,,-4.345,,-3.758,,-3.213,,-2.704,,-2.229,,-1.782,,-1.362,,-9.64E-01,,-5.88E-01,,-2.30E-01,,1.10E-01,,4.34E-01,,7.43E-01,,1.039,,1.323,,1.595,,1.856,,2.107,,2.348,,2.581,,2.805,,3.022,9.66E+10,3.231,9.33E+10,3.433,9.03E+10,3.629,8.74E+10,3.818,8.48E+10,4.002,8.22E+10,4.18,7.99E+10,4.353,7.77E+10,4.52,7.56E+10,4.683,7.36E+10
1.38E-06,-11.04,,-9.286,,-7.847,,-6.629,,-5.573,,-4.644,,-3.816,,-3.069,,-2.39,,-1.769,,-1.196,,-6.66E-01,,-1.73E-01,,2.88E-01,,7.20E-01,,1.126,,1.509,,1.871,,2.213,,2.539,,2.848,,3.143,9.70E+10,3.424,9.25E+10,3.693,8.85E+10,3.95,8.49E+10,4.196,8.15E+10,4.432,7.84E+10,4.659,7.55E+10,4.877,7.29E+10,5.087,7.05E+10,5.288,6.82E+10,5.483,6.61E+10,5.67,6.40E+10,5.851,6.22E+10,6.025,6.05E+10,6.194,5.88E+10,6.357,5.72E+10,6.515,5.58E+10,6.667,5.44E+10,6.815,5.31E+10
1.75E-06,-9.003,,-7.267,,-5.843,,-4.64,,-3.599,,-2.685,,-1.872,,-1.14,,-4.76E-01,,1.31E-01,,6.89E-01,,1.205,,1.683,,2.129,,2.547,,2.938,,3.306,9.56E+10,3.653,9.02E+10,3.981,8.54E+10,4.291,8.12E+10,4.586,7.73E+10,4.866,7.39E+10,5.133,7.07E+10,5.386,6.78E+10,5.629,6.52E+10,5.86,6.28E+10,6.081,6.06E+10,6.293,5.85E+10,6.496,5.66E+10,6.69,5.48E+10,6.877,5.31E+10,7.057,5.16E+10,7.229,5.02E+10,7.395,4.88E+10,7.554,4.75E+10,7.707,4.63E+10,7.855,4.52E+10,7.997,4.41E+10,8.134,4.31E+10,8.265,4.22E+10
2.13E-06,-7.379,,-5.658,,-4.25,,-3.061,,-2.036,,-1.137,,-3.38E-01,,3.80E-01,,1.029,,1.621,,2.164,,2.665,,3.129,9.90E+10,3.56,9.21E+10,3.963,8.62E+10,4.34,8.10E+10,4.693,7.64E+10,5.025,7.24E+10,5.338,6.88E+10,5.634,6.56E+10,5.913,6.26E+10,6.178,6.00E+10,6.43,5.75E+10,6.669,5.53E+10,6.896,5.33E+10,7.112,5.14E+10,7.318,4.97E+10,7.515,4.81E+10,7.702,4.67E+10,7.881,4.53E+10,8.052,4.40E+10,8.216,4.28E+10,8.372,4.17E+10,8.52,4.07E+10,8.663,3.97E+10,8.798,3.87E+10,8.928,3.79E+10,9.051,3.71E+10,9.168,3.63E+10,9.279,3.56E+10
2.50E-06,-6.032,,-4.326,,-2.932,,-1.758,,-7.48E-01,,1.37E-01,,9.21E-01,,1.623,,2.258,,2.836,,3.364,9.55E+10,3.85,8.81E+10,4.299,8.18E+10,4.716,7.64E+10,5.103,7.17E+10,5.465,6.76E+10,5.803,6.39E+10,6.12,6.07E+10,6.419,5.78E+10,6.699,5.52E+10,6.964,5.28E+10,7.214,5.07E+10,7.45,4.88E+10,7.673,4.70E+10,7.885,4.54E+10,8.085,4.39E+10,8.275,4.25E+10,8.455,4.12E+10,8.625,4.00E+10,8.786,3.89E+10,8.939,3.79E+10,9.083,3.70E+10,9.218,3.61E+10,9.345,3.52E+10,9.466,3.45E+10,9.577,3.37E+10,9.68,3.30E+10,9.775,3.24E+10,9.861,3.18E+10,9.937,3.13E+10
2.88E-06,-4.883,,-3.192,,-1.813,,-6.54E-01,,3.42E-01,,1.212,,1.981,,2.669,,3.289,9.68E+10,3.852,8.82E+10,4.365,8.10E+10,4.837,7.50E+10,5.271,6.98E+10,5.672,6.54E+10,6.045,6.15E+10,6.391,5.81E+10,6.715,5.51E+10,7.017,5.24E+10,7.3,5.01E+10,7.565,4.79E+10,7.814,4.60E+10,8.048,4.42E+10,8.268,4.26E+10,8.474,4.12E+10,8.668,3.98E+10,8.85,3.86E+10,9.021,3.74E+10,9.18,3.64E+10,9.33,3.54E+10,9.468,3.45E+10,9.596,3.37E+10,9.712,3.29E+10,9.817,3.22E+10,9.91,3.16E+10,9.99,3.10E+10,10.06,3.04E+10,10.11,3.00E+10,10.14,2.96E+10,10.16,2.92E+10,10.15,2.90E+10
3.25E-06,-3.883,,-2.207,,-8.43E-01,,3.02E-01,,1.283,,2.138,,2.892,,3.565,9.23E+10,4.17,8.35E+10,4.718,7.64E+10,5.217,7.04E+10,5.673,6.54E+10,6.092,6.10E+10,6.479,5.73E+10,6.836,5.40E+10,7.168,5.12E+10,7.476,4.86E+10,7.762,4.64E+10,8.029,4.44E+10,8.278,4.25E+10,8.51,4.09E+10,8.726,3.94E+10,8.927,3.81E+10,9.113,3.68E+10,9.287,3.57E+10,9.446,3.47E+10,9.591,3.37E+10,9.722,3.28E+10,9.839,3.21E+10,9.94,3.13E+10,10.02,3.07E+10,10.09,3.01E+10,10.13,2.97E+10,10.16,2.93E+10,10.15,2.90E+10,10.11,2.88E+10,10.03,2.88E+10,9.897,2.88E+10,9.714,2.91E+10,9.462,2.96E+10
3.63E-06,-3,,-1.339,,1.06E-02,,1.14,,2.107,,2.947,,3.687,9.03E+10,4.345,8.11E+10,4.935,7.36E+10,5.468,6.75E+10,5.951,6.23E+10,6.393,5.80E+10,6.797,5.43E+10,7.168,5.11E+10,7.51,4.83E+10,7.826,4.58E+10,8.118,4.36E+10,8.387,4.17E+10,8.637,4.00E+10,8.867,3.84E+10,9.08,3.70E+10,9.274,3.57E+10,9.452,3.46E+10,9.612,3.35E+10,9.755,3.26E+10,9.879,3.17E+10,9.984,3.10E+10,10.07,3.03E+10,10.12,2.98E+10,10.15,2.93E+10,10.15,2.90E+10,10.1,2.88E+10,10,2.87E+10,9.844,2.89E+10,9.615,2.93E+10,9.302,2.99E+10,8.898,3.09E+10,8.402,3.22E+10,7.818,3.39E+10,7.176,3.59E+10
4.00E-06,-2.21,,-5.64E-01,,7.71E-01,,1.885,,2.837,,3.662,9.03E+10,4.387,8.03E+10,5.03,7.23E+10,5.606,6.58E+10,6.123,6.05E+10,6.592,5.60E+10,7.018,5.22E+10,7.407,4.90E+10,7.762,4.62E+10,8.088,4.38E+10,8.387,4.16E+10,8.661,3.97E+10,8.912,3.80E+10,9.142,3.65E+10,9.349,3.52E+10,9.536,3.40E+10,9.702,3.29E+10,9.846,3.19E+10,9.967,3.11E+10,10.06,3.03E+10,10.12,2.97E+10,10.15,2.92E+10,10.14,2.89E+10,10.07,2.87E+10,9.935,2.88E+10,9.725,2.90E+10,9.416,2.96E+10,9,3.06E+10,8.469,3.20E+10,7.829,3.38E+10,7.123,3.60E+10,6.349,3.87E+10,5.547,4.16E+10,4.743,4.48E+10,3.954,4.83E+10
4.38E-06,-1.498,,1.34E-01,,1.454,,2.554,,3.49,9.25E+10,4.301,8.11E+10,5.011,7.22E+10,5.639,6.52E+10,6.199,5.95E+10,6.702,5.48E+10,7.155,5.09E+10,7.565,4.76E+10,7.938,4.47E+10,8.277,4.23E+10,8.585,4.01E+10,8.866,3.82E+10,9.12,3.66E+10,9.348,3.51E+10,9.552,3.38E+10,9.73,3.26E+10,9.881,3.16E+10,10,3.07E+10,10.09,2.99E+10,10.14,2.94E+10,10.15,2.89E+10,10.09,2.87E+10,9.962,2.87E+10,9.738,2.90E+10,9.401,2.96E+10,8.935,3.07E+10,8.331,3.23E+10,7.619,3.44E+10,6.808,3.70E+10,5.943,4.00E+10,5.061,4.34E+10,4.189,4.71E+10,3.346,5.12E+10,2.571,5.53E+10,1.825,5.98E+10,1.125,6.48E+10
4.75E-06,-8.49E-01,,7.68E-01,,2.073,,3.158,9.72E+10,4.08,8.36E+10,4.875,7.35E+10,5.57,6.56E+10,6.183,5.94E+10,6.728,5.44E+10,7.215,5.02E+10,7.652,4.67E+10,8.047,4.38E+10,8.402,4.13E+10,8.724,3.91E+10,9.013,3.71E+10,9.271,3.55E+10,9.5,3.40E+10,9.699,3.27E+10,9.867,3.16E+10,10,3.06E+10,10.1,2.98E+10,10.15,2.92E+10,10.14,2.88E+10,10.05,2.86E+10,9.875,2.87E+10,9.577,2.92E+10,9.133,3.01E+10,8.529,3.17E+10,7.788,3.38E+10,6.923,3.65E+10,5.988,3.97E+10,5.029,4.34E+10,4.083,4.75E+10,3.196,5.17E+10,2.348,5.64E+10,1.555,6.14E+10,8.16E-01,6.69E+10,1.28E-01,7.31E+10,-5.14E-01,8.03E+10,-1.115,8.88E+10
5.13E-06,-2.55E-01,,1.347,,2.637,,3.707,8.83E+10,4.614,7.62E+10,5.394,6.72E+10,6.074,6.02E+10,6.672,5.46E+10,7.201,5.01E+10,7.673,4.64E+10,8.094,4.32E+10,8.471,4.06E+10,8.809,3.83E+10,9.109,3.64E+10,9.375,3.47E+10,9.606,3.32E+10,9.802,3.19E+10,9.961,3.08E+10,10.08,2.99E+10,10.14,2.92E+10,10.13,2.87E+10,10.05,2.85E+10,9.853,2.86E+10,9.513,2.92E+10,9,3.04E+10,8.31,3.22E+10,7.453,3.47E+10,6.481,3.79E+10,5.453,4.16E+10,4.421,4.58E+10,3.447,5.03E+10,2.518,5.52E+10,1.653,6.05E+10,8.50E-01,6.64E+10,1.07E-01,7.29E+10,-5.83E-01,8.06E+10,-1.225,8.99E+10,-1.824,,-2.384,,-2.911,
5.50E-06,2.93E-01,,1.88,,3.155,9.59E+10,4.21,8.08E+10,5.102,7.00E+10,5.867,6.19E+10,6.531,5.56E+10,7.114,5.06E+10,7.627,4.65E+10,8.082,4.31E+10,8.487,4.03E+10,8.845,3.79E+10,9.162,3.59E+10,9.438,3.41E+10,9.675,3.26E+10,9.87,3.13E+10,10.02,3.02E+10,10.11,2.94E+10,10.14,2.88E+10,10.08,2.84E+10,9.904,2.85E+10,9.569,2.90E+10,9.039,3.02E+10,8.306,3.21E+10,7.381,3.48E+10,6.328,3.83E+10,5.219,4.24E+10,4.136,4.69E+10,3.097,5.18E+10,2.127,5.72E+10,1.23,6.31E+10,4.05E-01,6.97E+10,-3.57E-01,7.73E+10,-1.061,8.66E+10,-1.714,9.84E+10,-2.322,,-2.89,,-3.421,,-3.921,,-4.392,
5.88E-06,8.00E-01,,2.372,,3.632,8.80E+10,4.672,7.45E+10,5.548,6.47E+10,6.298,5.73E+10,6.947,5.16E+10,7.514,4.71E+10,8.011,4.34E+10,8.45,4.03E+10,8.835,3.78E+10,9.172,3.56E+10,9.464,3.38E+10,9.71,3.22E+10,9.908,3.09E+10,10.05,2.98E+10,10.13,2.90E+10,10.12,2.84E+10,10,2.83E+10,9.723,2.86E+10,9.239,2.96E+10,8.523,3.14E+10,7.579,3.41E+10,6.472,3.76E+10,5.29,4.19E+10,4.132,4.67E+10,3.025,5.20E+10,1.997,5.77E+10,1.053,6.40E+10,1.87E-01,7.12E+10,-6.07E-01,7.97E+10,-1.338,9.01E+10,-2.014,,-2.641,,-3.223,,-3.768,,-4.278,,-4.76,,-5.215,,-5.646,
6.25E-06,1.272,,2.829,9.92E+10,4.074,8.13E+10,5.098,6.90E+10,5.959,6.02E+10,6.694,5.34E+10,7.327,4.82E+10,7.877,4.41E+10,8.358,4.07E+10,8.778,3.79E+10,9.142,3.56E+10,9.455,3.36E+10,9.716,3.20E+10,9.923,3.06E+10,10.07,2.95E+10,10.13,2.87E+10,10.1,2.82E+10,9.918,2.82E+10,9.541,2.88E+10,8.909,3.02E+10,8.022,3.26E+10,6.905,3.60E+10,5.666,4.03E+10,4.422,4.52E+10,3.228,5.07E+10,2.12,5.66E+10,1.108,6.32E+10,1.84E-01,7.07E+10,-6.58E-01,7.96E+10,-1.43,9.07E+10,-2.142,,-2.796,,-3.402,,-3.968,,-4.498,,-4.996,,-5.467,,-5.912,,-6.335,,-6.737,
6.63E-06,1.712,,3.254,9.17E+10,4.484,7.55E+10,5.493,6.43E+10,6.338,5.62E+10,7.057,5.01E+10,7.675,4.53E+10,8.209,4.15E+10,8.671,3.84E+10,9.07,3.58E+10,9.41,3.37E+10,9.693,3.19E+10,9.915,3.05E+10,10.07,2.93E+10,10.13,2.85E+10,10.07,2.81E+10,9.849,2.82E+10,9.387,2.90E+10,8.637,3.08E+10,7.593,3.37E+10,6.34,3.77E+10,5,4.26E+10,3.717,4.80E+10,2.505,5.41E+10,1.399,6.08E+10,3.95E-01,6.82E+10,-5.15E-01,7.71E+10,-1.345,8.82E+10,-2.103,,-2.796,,-3.438,,-4.034,,-4.591,,-5.113,,-5.604,,-6.068,,-6.507,,-6.924,,-7.321,,-7.7,
7.00E-06,2.124,,3.651,8.53E+10,4.865,7.04E+10,5.859,6.02E+10,6.689,5.27E+10,7.392,4.71E+10,7.993,4.27E+10,8.51,3.92E+10,8.952,3.63E+10,9.328,3.40E+10,9.64,3.21E+10,9.885,3.05E+10,10.05,2.92E+10,10.13,2.84E+10,10.06,2.79E+10,9.812,2.81E+10,9.287,2.90E+10,8.438,3.11E+10,7.273,3.45E+10,5.909,3.90E+10,4.514,4.43E+10,3.176,5.03E+10,1.946,5.68E+10,8.35E-01,6.42E+10,-1.68E-01,7.27E+10,-1.074,8.31E+10,-1.895,9.68E+10,-2.644,,-3.333,,-3.969,,-4.561,,-5.114,,-5.632,,-6.12,,-6.581,,-7.017,,-7.432,,-7.826,,-8.203,,-8.563,
7.38E-06,2.511,,4.023,7.96E+10,5.221,6.59E+10,6.2,5.65E+10,7.014,4.96E+10,7.701,4.44E+10,8.285,4.04E+10,8.783,3.71E+10,9.204,3.45E+10,9.553,3.24E+10,9.829,3.06E+10,10.02,2.93E+10,10.12,2.83E+10,10.07,2.78E+10,9.813,2.79E+10,9.257,2.89E+10,8.341,3.12E+10,7.083,3.49E+10,5.626,3.97E+10,4.168,4.55E+10,2.787,5.18E+10,1.533,5.89E+10,4.08E-01,6.69E+10,-6.02E-01,7.63E+10,-1.509,8.84E+10,-2.33,,-3.081,,-3.77,,-4.407,,-4.999,,-5.552,,-6.07,,-6.558,,-7.018,,-7.455,,-7.869,,-8.263,,-8.64,,-9,,-9.344,
7.75E-06,2.875,9.38E+10,4.371,7.45E+10,5.555,6.19E+10,6.517,5.32E+10,7.316,4.69E+10,7.986,4.21E+10,8.553,3.83E+10,9.03,3.53E+10,9.426,3.29E+10,9.743,3.10E+10,9.974,2.94E+10,10.1,2.83E+10,10.08,2.76E+10,9.851,2.77E+10,9.3,2.87E+10,8.355,3.10E+10,7.031,3.48E+10,5.494,4.00E+10,3.971,4.60E+10,2.541,5.27E+10,1.253,6.02E+10,1.03E-01,6.87E+10,-9.20E-01,7.90E+10,-1.839,9.24E+10,-2.67,,-3.427,,-4.122,,-4.764,,-5.361,,-5.917,,-6.438,,-6.928,,-7.391,,-7.829,,-8.245,,-8.641,,-9.019,,-9.38,,-9.725,,-10.06,
8.13E-06,3.219,8.78E+10,4.7,7.00E+10,5.867,5.84E+10,6.814,5.03E+10,7.597,4.44E+10,8.25,3.99E+10,8.797,3.64E+10,9.252,3.37E+10,9.62,3.15E+10,9.897,2.97E+10,10.07,2.84E+10,10.1,2.76E+10,9.916,2.74E+10,9.409,2.83E+10,8.478,3.04E+10,7.121,3.43E+10,5.515,3.96E+10,3.92,4.59E+10,2.429,5.28E+10,1.094,6.06E+10,-8.75E-02,6.95E+10,-1.137,8.05E+10,-2.075,9.50E+10,-2.922,,-3.693,,-4.399,,-5.049,,-5.653,,-6.216,,-6.743,,-7.238,,-7.705,,-8.148,,-8.567,,-8.966,,-9.347,,-9.71,,-10.06,,-10.39,,-10.71,
8.50E-06,3.544,8.24E+10,5.009,6.60E+10,6.161,5.52E+10,7.092,4.76E+10,7.858,4.22E+10,8.493,3.80E+10,9.02,3.48E+10,9.449,3.22E+10,9.783,3.02E+10,10.01,2.87E+10,10.1,2.76E+10,9.991,2.72E+10,9.565,2.78E+10,8.696,2.97E+10,7.347,3.34E+10,5.689,3.87E+10,4.013,4.51E+10,2.448,5.22E+10,1.053,6.03E+10,-1.74E-01,6.94E+10,-1.259,8.07E+10,-2.226,9.59E+10,-3.095,,-3.884,,-4.605,,-5.269,,-5.884,,-6.456,,-6.992,,-7.494,,-7.968,,-8.416,,-8.841,,-9.244,,-9.629,,-9.996,,-10.35,,-10.68,,-11.01,,-11.32,
8.88E-06,3.852,7.76E+10,5.301,6.23E+10,6.437,5.22E+10,7.351,4.53E+10,8.1,4.02E+10,8.717,3.63E+10,9.222,3.33E+10,9.622,3.09E+10,9.914,2.91E+10,10.08,2.78E+10,10.05,2.71E+10,9.739,2.73E+10,8.983,2.88E+10,7.696,3.21E+10,6.013,3.73E+10,4.253,4.37E+10,2.598,5.10E+10,1.129,5.91E+10,-1.58E-01,6.83E+10,-1.29,7.97E+10,-2.294,9.49E+10,-3.194,,-4.007,,-4.748,,-5.429,,-6.058,,-6.643,,-7.189,,-7.701,,-8.183,,-8.639,,-9.07,,-9.48,,-9.87,,-10.24,,-10.6,,-10.94,,-11.27,,-11.58,,-11.88,
9.25E-06,4.144,7.32E+10,5.577,5.90E+10,6.697,4.96E+10,7.595,4.31E+10,8.326,3.83E+10,8.923,3.47E+10,9.403,3.19E+10,9.77,2.97E+10,10.01,2.81E+10,10.09,2.71E+10,9.901,2.69E+10,9.298,2.79E+10,8.143,3.07E+10,6.482,3.55E+10,4.643,4.18E+10,2.885,4.92E+10,1.323,5.72E+10,-4.05E-02,6.65E+10,-1.232,7.76E+10,-2.283,9.24E+10,-3.219,,-4.063,,-4.829,,-5.531,,-6.178,,-6.778,,-7.338,,-7.862,,-8.355,,-8.819,,-9.259,,-9.676,,-10.07,,-10.45,,-10.81,,-11.16,,-11.49,,-11.81,,-12.11,,-12.41,
9.63E-06,4.421,6.92E+10,5.838,5.59E+10,6.941,4.72E+10,7.823,4.11E+10,8.536,3.66E+10,9.111,3.33E+10,9.564,3.07E+10,9.891,2.87E+10,10.07,2.73E+10,10.02,2.66E+10,9.606,2.71E+10,8.644,2.91E+10,7.078,3.34E+10,5.187,3.95E+10,3.317,4.67E+10,1.64,5.48E+10,1.84E-01,6.38E+10,-1.082,7.46E+10,-2.19,8.87E+10,-3.173,,-4.053,,-4.85,,-5.578,,-6.247,,-6.865,,-7.441,,-7.979,,-8.484,,-8.96,,-9.409,,-9.835,,-10.24,,-10.63,,-10.99,,-11.34,,-11.68,,-12,,-12.31,,-12.61,,-12.9,
1.00E-05,4.684,6.56E+10,6.085,5.32E+10,7.172,4.50E+10,8.037,3.93E+10,8.731,3.51E+10,9.283,3.20E+10,9.703,2.95E+10,9.982,2.78E+10,10.07,2.67E+10,9.854,2.65E+10,9.133,2.78E+10,7.764,3.12E+10,5.872,3.68E+10,3.903,4.38E+10,2.094,5.18E+10,5.21E-01,6.07E+10,-8.35E-01,7.10E+10,-2.015,8.40E+10,-3.053,,-3.979,,-4.813,,-5.57,,-6.265,,-6.906,,-7.5,,-8.055,,-8.574,,-9.063,,-9.524,,-9.96,,-10.37,,-10.77,,-11.14,,-11.5,,-11.84,,-12.17,,-12.49,,-12.79,,-13.08,,-13.36,